case_id,title,symptom,topology_note,show_outputs,expected_fault,expected_osi_layer,concept_tag,severity,expected_next_command,expected_fix_steps,expected_rule_ids
NET-011,NAT translation rule misconfiguration,Internal office LAN devices cannot access public internet or resolve DNS root domains.,"{""nodes"":[{""id"":""pc1"",""name"":""Corp-LAN-PC"",""type"":""PC"",""ip"":""192.168.10.15"",""status"":""active"",""x"":100,""y"":320,""interfaces"":[""Fa0/1""]},{""id"":""r1"",""name"":""BORDER-ROUTER-01"",""type"":""Router"",""ip"":""192.168.10.1"",""status"":""warning"",""x"":450,""y"":180,""interfaces"":[""Gi0/0"",""Gi0/1""]},{""id"":""srv1"",""name"":""ISP-Gateway"",""type"":""Server"",""ip"":""8.8.8.8"",""status"":""failed"",""x"":800,""y"":320,""interfaces"":[""Gi1/1""]}],""links"":[{""source"":""pc1"",""target"":""r1"",""status"":""active"",""bandwidth"":""1 Gbps""},{""source"":""r1"",""target"":""srv1"",""status"":""failed"",""bandwidth"":""1 Gbps (NAT Outside Missing)""}]}","BORDER-ROUTER-01# show ip nat statistics
Total active translations: 0
Peak translations: 0
Area interfaces:
  GigabitEthernet0/0 (inside)
  GigabitEthernet0/1 (unassigned) - WARNING: Missing outside declaration!",The border gateway interface GigabitEthernet0/1 connected to the public ISP router is missing the 'ip nat outside' command. Address translation failed.,Layer 3 (Network),L3 NAT,High,show running-config interface GigabitEthernet0/1,"configure terminal
interface GigabitEthernet0/1
ip nat outside
exit
ip nat inside source list 1 interface GigabitEthernet0/1 overload",RC-14
NET-012,Wrong 802.1Q sub-interface encapsulation,PC4 in VLAN 40 cannot establish TCP connections. Checking VLAN binding encapsulation.,"{""nodes"":[{""id"":""pc1"",""name"":""User-PC-04"",""type"":""PC"",""ip"":""10.40.40.15"",""vlan"":""VLAN 40"",""status"":""failed"",""x"":150,""y"":320,""interfaces"":[""Fa0/1""]},{""id"":""r1"",""name"":""CORE-ROUTER-01"",""type"":""Router"",""ip"":""10.40.40.1"",""status"":""warning"",""x"":500,""y"":180,""interfaces"":[""Gi0/0.40""]},{""id"":""srv1"",""name"":""Web-Server-V40"",""type"":""Server"",""ip"":""10.40.40.200"",""status"":""failed"",""x"":800,""y"":320,""interfaces"":[""Gi1/1""]}],""links"":[{""source"":""pc1"",""target"":""r1"",""status"":""failed"",""bandwidth"":""100 Mbps (Encap Mismatch)""},{""source"":""r1"",""target"":""srv1"",""status"":""failed"",""bandwidth"":""1 Gbps""}]}","CORE-ROUTER-01# show running-config interface GigabitEthernet0/0.40
building configuration...
!
interface GigabitEthernet0/0.40
 encapsulation dot1Q 50 (WARNING: Mismatched encapsulation!)
 ip address 10.40.40.1 255.255.255.0
!","A VLAN tag ID mismatch. The sub-interface GigabitEthernet0/0.40 is encapsulated for VLAN 50, dropping all VLAN 40 packets.",Layer 2 (Data Link),Inter-VLAN Routing,High,show interfaces subinterfaces,"configure terminal
interface GigabitEthernet0/0.40
encapsulation dot1Q 40",RC-15
NET-013,Access port safety Port-Security errdisable,User moved cables and suddenly lost access. Switchport Gi0/4 LED is solid amber.,"{""nodes"":[{""id"":""pc1"",""name"":""Violator-PC"",""type"":""PC"",""ip"":""10.10.10.99"",""status"":""failed"",""x"":150,""y"":320,""interfaces"":[""Fa0/1""]},{""id"":""sw1"",""name"":""ACCESS-SWITCH-02"",""type"":""Switch"",""ip"":""10.10.10.3"",""status"":""failed"",""x"":500,""y"":180,""interfaces"":[""Gi0/4""]}],""links"":[{""source"":""pc1"",""target"":""sw1"",""status"":""failed"",""bandwidth"":""1 Gbps (Errdisabled)""}]}","ACCESS-SWITCH-02# show interfaces gigabitethernet 0/4 status
Port      Name               Status       Vlan       Duplex  Speed Type
Gi0/4     User-Outlet-04     err-disabled 10         auto    auto  10/100/1000BaseTX
ACCESS-SWITCH-02# show port-security interface gigabitethernet 0/4
Port Security: Enabled
Port Status: Secure-shutdown",An unauthorized MAC address was connected to GigabitEthernet0/4. The switchport triggered its port-security violation rule and entered 'err-disabled' status.,Layer 1 (Physical),L1 Physical,Medium,show port-security interface gigabitethernet 0/4,"configure terminal
interface GigabitEthernet0/4
shutdown
no shutdown (Resets port-security error state)",RC-13
NET-014,Wrong subnet mask assignment on core link,Core router cannot reach distribution switch SVI. Link status up but ping failing.,"{""nodes"":[{""id"":""sw1"",""name"":""DIST-SWITCH-01"",""type"":""Switch"",""ip"":""10.100.100.2"",""status"":""warning"",""x"":200,""y"":180,""interfaces"":[""Gi0/2""]},{""id"":""r1"",""name"":""CORE-ROUTER-01"",""type"":""Router"",""ip"":""10.100.100.1"",""status"":""warning"",""x"":600,""y"":180,""interfaces"":[""Gi0/2""]}],""links"":[{""source"":""sw1"",""target"":""r1"",""status"":""failed"",""bandwidth"":""1 Gbps (Subnet Mask Conflict)""}]}","DIST-SWITCH-01# show ip interface brief vlan 100
Interface              IP-Address      OK? Status                Protocol
Vlan100                10.100.100.2    YES manual up                    up

CORE-ROUTER-01# show running-config interface GigabitEthernet0/2
ip address 10.100.100.1 255.255.255.252 (Configured as /30, conflicting with /24)","A subnet mask mismatch. The router SVI/interface has a 30-bit mask, causing it to reject IP packets from 10.100.100.2 as outside its range.",Layer 3 (Network),L3 Routing,High,show running-config interface GigabitEthernet0/2,"configure terminal
interface GigabitEthernet0/2
ip address 10.100.100.1 255.255.255.0",RC-03
NET-015,VLAN mismatch on distribution port-channel,Distribution aggregation trunks dropping database synchronization frames.,"{""nodes"":[{""id"":""sw1"",""name"":""CORE-SWITCH-01"",""type"":""Switch"",""ip"":""10.100.1.1"",""status"":""warning"",""x"":200,""y"":180,""interfaces"":[""Po1""]},{""id"":""sw2"",""name"":""DIST-SWITCH-02"",""type"":""Switch"",""ip"":""10.100.1.2"",""status"":""warning"",""x"":600,""y"":180,""interfaces"":[""Po1""]}],""links"":[{""source"":""sw1"",""target"":""sw2"",""status"":""failed"",""bandwidth"":""20 Gbps (Native VLAN Mismatch)""}]}","CORE-SWITCH-01# show interfaces trunk
Port        Mode             Encapsulation  Status        Native vlan
Po1         on               802.1q         trunking      100

DIST-SWITCH-02# show interfaces trunk
Port        Mode             Encapsulation  Status        Native vlan
Po1         on               802.1q         trunking      1",Native VLAN mismatch on the active EtherChannel trunk interface Port-Channel 1. This leaks spanning-tree and administration traffic.,Layer 2 (Data Link),L2 Trunking,High,show etherchannel summary,"configure terminal
interface Port-Channel 1
switchport trunk native vlan 100",RC-07
NET-016,Administratively down core backbone trunk interface,Redundant link between Core and Distribution switches completely dark. No traffic throughput.,"{""nodes"":[{""id"":""sw1"",""name"":""CORE-SWITCH-01"",""type"":""Switch"",""ip"":""10.100.1.1"",""status"":""warning"",""x"":200,""y"":180,""interfaces"":[""Gi0/24""]},{""id"":""sw2"",""name"":""DIST-SWITCH-01"",""type"":""Switch"",""ip"":""10.100.1.3"",""status"":""active"",""x"":600,""y"":180,""interfaces"":[""Gi0/24""]}],""links"":[{""source"":""sw1"",""target"":""sw2"",""status"":""failed"",""bandwidth"":""1 Gbps (Trunk Down)""}]}","CORE-SWITCH-01# show ip interface brief
Interface              IP-Address      OK? Status                Protocol
GigabitEthernet0/24    unassigned      YES manual administratively down down","The GigabitEthernet0/24 interface on the core switch has been administratively disabled, disabling link aggregation failover.",Layer 1 (Physical),L1 Physical,Critical,show interfaces status,"configure terminal
interface GigabitEthernet0/24
no shutdown",RC-01
NET-017,Duplicate gateway SVI IP assignment,Corporate router gateway is flapping on ARP cache tables. MAC address conflicts occurring.,"{""nodes"":[{""id"":""r1"",""name"":""CORE-ROUTER-01"",""type"":""Router"",""ip"":""10.1.1.1"",""status"":""failed"",""x"":200,""y"":180,""interfaces"":[""Gi0/0""]},{""id"":""sw1"",""name"":""ACCESS-SWITCH-01"",""type"":""Switch"",""ip"":""10.1.1.1"",""status"":""warning"",""x"":600,""y"":180,""interfaces"":[""Vlan1""]}],""links"":[{""source"":""r1"",""target"":""sw1"",""status"":""failed"",""bandwidth"":""10 Gbps (IP Conflict)""}]}","CORE-ROUTER-01# show logging | include %IP-4-DUPADDR
%IP-4-DUPADDR: Duplicate IP address 10.1.1.1 on GigabitEthernet0/0, sourced by mac address 00aa.22bb.ccdd","An access-layer switch SVI or rogue administrator has configured their interface with the gateway IP 10.1.1.1, interrupting routing.",Layer 3 (Network),IPAM,Critical,show mac address-table address 00aa.22bb.ccdd,"Find rogue switch and reconfigure SVI to secondary IP (e.g., 10.1.1.254)",RC-05
NET-018,ACL denying essential secure shell port 22,Network administrators cannot connect via SSH to core switches to manage VLAN databases.,"{""nodes"":[{""id"":""pc1"",""name"":""Admin-Console"",""type"":""PC"",""ip"":""10.10.10.5"",""status"":""active"",""x"":100,""y"":320,""interfaces"":[""Fa0/1""]},{""id"":""sw1"",""name"":""DIST-SWITCH-01"",""type"":""Switch"",""ip"":""10.100.1.10"",""status"":""failed"",""x"":500,""y"":180,""interfaces"":[""Vlan100""]}],""links"":[{""source"":""pc1"",""target"":""sw1"",""status"":""failed"",""bandwidth"":""1 Gbps (SSH Blocked)""}]}","DIST-SWITCH-01# show ip access-lists
Extended IP access list INGRESS-FILTER
    10 deny tcp any any eq 22 (match-count 421)
    20 permit ip any any","An active access control list INGRESS-FILTER is blocking all SSH connections (TCP Port 22), preventing remote administration.",Layer 4 (Transport),Security,Medium,show running-config interface Vlan100,"configure terminal
ip access-list extended INGRESS-FILTER
no 10 (Delete the explicit deny block)
10 permit tcp 10.10.10.0 0.0.0.255 any eq 22 (Allow SSH only from secure admin network)",RC-09
NET-019,Gateway mismatch on finance server network,Finance file server fails to execute scheduled backups to the main backup cloud system.,"{""nodes"":[{""id"":""srv1"",""name"":""FIN-FILE-SRV"",""type"":""Server"",""ip"":""10.200.200.50"",""status"":""warning"",""x"":150,""y"":320,""interfaces"":[""Gi1/1""]},{""id"":""r1"",""name"":""FIN-GATEWAY"",""type"":""Router"",""ip"":""10.200.200.1"",""status"":""active"",""x"":500,""y"":180,""interfaces"":[""Gi0/0""]}],""links"":[{""source"":""srv1"",""target"":""r1"",""status"":""failed"",""bandwidth"":""10 Gbps (Gateway Mismatch)""}]}","FIN-FILE-SRV# ipconfig /all
Connection-specific DNS Suffix  . : internal
IPv4 Address. . . . . . . . . . . : 10.200.200.50
Subnet Mask . . . . . . . . . . . : 255.255.255.0
Default Gateway . . . . . . . . . : 10.200.200.2 (MISMATCHED - expected 10.200.200.1)",A gateway SVI IP mismatch. The finance server is statically configured with an incorrect default gateway IP of 10.200.200.2.,Layer 3 (Network),IPAM / Gateway,High,ping 10.200.200.1,Reconfigure file server default gateway network adapter settings to: 10.200.200.1,RC-04
NET-020,Missing VLAN accounting database,Accounting workstation cannot ping gateway SVI. Inter-VLAN routing dropping packets on VLAN 44.,"{""nodes"":[{""id"":""pc1"",""name"":""Accounting-Client"",""type"":""PC"",""ip"":""10.44.44.15"",""status"":""failed"",""x"":150,""y"":320,""interfaces"":[""Fa0/1""]},{""id"":""sw1"",""name"":""ACCESS-SWITCH-06"",""type"":""Switch"",""ip"":""10.44.44.2"",""status"":""failed"",""x"":500,""y"":180,""interfaces"":[""Fa0/12""]}],""links"":[{""source"":""pc1"",""target"":""sw1"",""status"":""failed"",""bandwidth"":""100 Mbps""}]}","ACCESS-SWITCH-06# show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/1, Fa0/2, Gi0/1
10   Engineering                      active    Fa0/3
20   Marketing                        active    Fa0/4",VLAN 44 database record is missing. FastEthernet0/12 is inactive and cannot forward packets.,Layer 2 (Data Link),L2 Switching,Medium,show run interface FastEthernet0/12,"configure terminal
vlan 44
name Accounting
exit",RC-06
NET-021,OSPF missing static route redistribute command,Autonomous system backbone routers cannot ping corporate border static default route.,"{""nodes"":[{""id"":""r1"",""name"":""OSPF-BORDER-RT"",""type"":""Router"",""ip"":""203.0.113.2"",""status"":""warning"",""x"":200,""y"":180,""interfaces"":[""Gi0/1""]},{""id"":""r2"",""name"":""OSPF-CORE-RT"",""type"":""Router"",""ip"":""10.1.1.1"",""status"":""active"",""x"":600,""y"":180,""interfaces"":[""Gi0/1""]}],""links"":[{""source"":""r1"",""target"":""r2"",""status"":""failed"",""bandwidth"":""1 Gbps (Route Missing)""}]}","OSPF-BORDER-RT# show ip route static
S*   0.0.0.0/0 [1/0] via 203.0.113.1
OSPF-BORDER-RT# show ip ospf database | include Default
(Result: Empty - Default route not advertised!)",The border router OSPF process lacks the default-information originate statement to redistribute the ISP static default route to other routers.,Layer 3 (Network),L3 Routing,High,show running-config | section router ospf,"configure terminal
router ospf 1
default-information originate",RC-08
